datetime,interactions,distance_mm,user_flag
2026-07-01T18:41:48.135Z,6,64,false
2026-07-01T18:42:09.314Z,36,64,false
2026-07-01T18:42:14.838Z,38,64,false
2026-07-01T18:42:16.946Z,41,64,false
2026-07-01T18:42:30.740Z,23,64,false
2026-07-01T18:42:32.860Z,24,64,false
2026-07-01T18:42:33.736Z,34,64,false
2026-07-01T18:42:38.826Z,38,64,false
2026-07-01T18:42:54.426Z,40,64,false
2026-07-01T18:43:03.786Z,,,true
2026-07-01T18:43:13.478Z,49,64,false
2026-07-01T18:43:19.111Z,0,64,false
2026-07-01T18:43:35.018Z,7,64,false
2026-07-01T18:43:37.005Z,8,64,false
2026-07-01T18:43:37.630Z,9,64,false
2026-07-01T18:43:39.126Z,11,64,false
2026-07-01T18:43:40.000Z,13,64,false
2026-07-01T18:43:55.831Z,28,66,false
2026-07-01T18:43:58.711Z,29,66,false
2026-07-01T18:44:17.772Z,43,67,false
2026-07-01T18:44:19.275Z,0,67,false
2026-07-01T18:44:21.391Z,1,67,false
2026-07-01T18:44:40.705Z,7,67,false
2026-07-01T18:44:41.596Z,8,67,false
2026-07-01T18:44:43.092Z,9,67,false
2026-07-01T18:45:00.741Z,10,67,false
2026-07-01T18:45:20.534Z,0,67,false
2026-07-01T18:45:43.595Z,1,68,false
2026-07-01T18:45:46.603Z,2,68,false
2026-07-01T18:46:03.398Z,4,68,false
2026-07-01T18:46:24.703Z,0,68,false
2026-07-01T18:46:32.824Z,1,68,false
2026-07-01T18:46:34.310Z,2,68,false
2026-07-01T18:46:47.143Z,8,68,false
2026-07-01T18:46:48.632Z,9,68,false
2026-07-01T18:46:54.648Z,10,68,false
2026-07-01T18:47:07.546Z,15,68,false
2026-07-01T18:47:28.855Z,2,68,false
2026-07-01T18:47:50.164Z,3,68,false
2026-07-01T18:47:54.933Z,5,68,false
2026-07-01T18:48:11.468Z,8,68,false
2026-07-01T18:48:19.571Z,0,68,false
2026-07-01T18:48:32.994Z,3,68,false
2026-07-01T18:48:39.290Z,4,68,false
2026-07-01T18:48:54.193Z,7,68,false
2026-07-01T18:49:15.491Z,7,68,false
2026-07-01T18:49:19.376Z,0,68,false
2026-07-01T18:49:36.673Z,4,68,false
2026-07-01T18:49:38.167Z,5,68,false
2026-07-01T18:49:41.802Z,6,68,false
2026-07-01T18:49:58.588Z,12,67,false
2026-07-01T18:50:00.105Z,13,67,false
2026-07-01T18:50:19.274Z,0,67,false
2026-07-01T18:50:22.278Z,1,67,false
2026-07-01T18:50:23.164Z,2,67,false
2026-07-01T18:50:41.455Z,5,67,false
2026-07-01T18:51:23.446Z,0,67,false
2026-07-01T18:51:45.640Z,0,66,false
2026-07-01T18:52:06.041Z,0,66,false
2026-07-01T18:52:11.159Z,1,66,false
2026-07-01T18:52:26.855Z,0,66,false
2026-07-01T18:52:48.772Z,1,66,false
2026-07-01T18:53:10.569Z,3,66,false
2026-07-01T18:53:11.458Z,4,66,false
2026-07-01T18:53:30.499Z,0,66,false
2026-07-01T18:53:31.509Z,1,66,false
2026-07-01T18:53:53.056Z,5,67,false
2026-07-01T18:53:57.548Z,6,67,false
2026-07-01T18:54:00.534Z,7,67,false
2026-07-01T18:54:13.731Z,10,67,false
2026-07-01T18:54:19.753Z,0,67,false
2026-07-01T18:54:35.034Z,1,67,false
2026-07-01T18:54:56.328Z,1,67,false
2026-07-01T18:55:14.767Z,,,true
2026-07-01T18:55:17.631Z,9,67,false
2026-07-01T18:55:18.871Z,10,67,false
2026-07-01T18:55:19.119Z,0,67,false
2026-07-01T18:55:21.607Z,3,67,false
2026-07-01T18:55:41.411Z,10,67,false
2026-07-01T18:55:43.542Z,11,67,false
